rank,iso3,country,display_name,office_title,role_type,salary_basis,status,note,wikidata_head,wikidata_head_government,image_file,image_status
"11","USA","United States","Donald Trump","Head of state / president where applicable","head_state","local_salary_explicit_usd","MATCHED_WIKIDATA_HEAD_OF_STATE","Matches Wikidata current head of state (Donald Trump).","Donald Trump","Donald Trump","003_USA_Donald-Trump.jpg","IMAGE_UNIQUE"
"12","AUT","Austria","Alexander Van der Bellen","Head of state / president where applicable","head_state","verified_usd_column_from_salary_table","MATCHED_WIKIDATA_HEAD_OF_STATE","Matches Wikidata current head of state (Alexander Van der Bellen).","Alexander Van der Bellen","Christian Stocker","097_AUT_Alexander-Van-der-Bellen.jpg","IMAGE_UNIQUE"
"13","ESP","Spain","Felipe VI of Spain","King / head of state; no president","head_state","royal_remuneration_estimate","MATCHED_WIKIDATA_HEAD_OF_STATE","Matches Wikidata current head of state (Felipe VI of Spain).","Felipe VI of Spain","Pedro Sánchez","031_ESP_Felipe-VI-of-Spain.jpg","IMAGE_UNIQUE"
"14","CAN","Canada","Louise Arbour","Governor General of Canada / representative of the monarch","representative_head_state","governor_general_equivalent_estimate","FIXED_COMMONWEALTH_REPRESENTATIVE_METHODOLOGY","Representative correction: salary_basis is governor_general_equivalent_estimate, so display uses Louise Arbour rather than formal monarch Charles III.","Charles III","Mark Carney","014_CAN_Louise-Arbour.jpg","IMAGE_UNIQUE"
"15","ITA","Italy","Sergio Mattarella","Head of state / president where applicable","head_state","aggregate_salary_table_needs_official_confirmation","MATCHED_WIKIDATA_HEAD_OF_STATE","Matches Wikidata current head of state (Sergio Mattarella).","Sergio Mattarella","Giorgia Meloni","025_ITA_Sergio-Mattarella.jpg","IMAGE_UNIQUE"
"16","MYS","Malaysia","Ibrahim Iskandar of Johor","Monarch / head of state; no president","head_state","royal_allowance_estimate","MATCHED_WIKIDATA_HEAD_OF_STATE","Matches Wikidata current head of state (Ibrahim Iskandar of Johor).","Ibrahim Iskandar of Johor","Anwar Ibrahim","043_MYS_Ibrahim-Iskandar-of-Johor.jpg","IMAGE_UNIQUE"
"17","HUN","Hungary","Tamás Sulyok","Head of state / president where applicable","head_state","aggregate_salary_table_needs_official_confirmation","MATCHED_WIKIDATA_HEAD_OF_STATE","Matches Wikidata current head of state (Tamás Sulyok).","Tamás Sulyok","Péter Magyar","096_HUN_Tamás-Sulyok.jpg","IMAGE_UNIQUE"
"18","KOR","South Korea","Lee Jae Myung","Head of state / president where applicable","head_state","aggregate_salary_table_needs_official_confirmation","MATCHED_WIKIDATA_HEAD_OF_STATE","Matches Wikidata current head of state (Lee Jae Myung).","Lee Jae Myung","Lee Jae Myung","030_KOR_Lee-Jae-Myung.jpg","IMAGE_UNIQUE"
"19","JPN","Japan","Naruhito","Monarch / head of state; no president","head_state","imperial_household_allowance_equivalent_estimate","MATCHED_WIKIDATA_HEAD_OF_STATE","Matches Wikidata current head of state (Naruhito).","Naruhito","Sanae Takaichi","011_JPN_Naruhito.jpg","IMAGE_UNIQUE"
"20","CZE","Czech Republic","Petr Pavel","Head of state / president where applicable","head_state","reported_official_salary_current_fx_estimate","MATCHED_WIKIDATA_HEAD_OF_STATE","Matches Wikidata current head of state (Petr Pavel).","Petr Pavel","Andrej Babiš","085_CZE_Petr-Pavel.jpg","IMAGE_UNIQUE"
"21","FRA","France","Emmanuel Macron","Head of state / president where applicable","head_state","aggregate_salary_table_needs_official_confirmation","MATCHED_WIKIDATA_HEAD_OF_STATE","Matches Wikidata current head of state (Emmanuel Macron).","Emmanuel Macron","Sébastien Lecornu","021_FRA_Emmanuel-Macron.jpg","IMAGE_UNIQUE"
"22","SWE","Sweden","Carl XVI Gustaf of Sweden","Monarch / head of state; no president","head_state","royal_allowance_estimate","MATCHED_WIKIDATA_HEAD_OF_STATE","Matches Wikidata current head of state (Carl XVI Gustaf of Sweden).","Carl XVI Gustaf of Sweden","Ulf Kristersson","089_SWE_Carl-XVI-Gustaf-of-Sweden.jpg","IMAGE_UNIQUE"
"23","ZAF","South Africa","Cyril Ramaphosa","Head of state / president where applicable","head_state","official_remuneration_current_fx_estimate","MATCHED_WIKIDATA_HEAD_OF_STATE","Matches Wikidata current head of state (Cyril Ramaphosa).","Cyril Ramaphosa","Cyril Ramaphosa","024_ZAF_Cyril-Ramaphosa.jpg","IMAGE_UNIQUE"
"24","TWN","Taiwan","Lai Ching-te","Head of state / president where applicable","head_state","aggregate_salary_table_needs_official_confirmation","MATCHED_WIKIDATA_HEAD_OF_STATE","Matches Wikidata current head of state (Lai Ching-te).","Lai Ching-te","Cho Jung-tai","059_TWN_Lai-Ching-te.jpg","IMAGE_UNIQUE"
"25","ISR","Israel","Isaac Herzog","Head of state / president where applicable","head_state","aggregate_salary_table_needs_official_confirmation","MATCHED_WIKIDATA_HEAD_OF_STATE","Matches Wikidata current head of state (Isaac Herzog).","Isaac Herzog","Benjamin Netanyahu","092_ISR_Isaac-Herzog.jpg","IMAGE_UNIQUE"
"26","GTM","Guatemala","Bernardo Arévalo de León","Head of state / president where applicable","head_state","reported_salary_cut_current_fx_estimate","MATCHED_WIKIDATA_HEAD_OF_STATE","Matches Wikidata current head of state (Bernardo Arévalo de León).","Bernardo Arévalo de León","Bernardo Arévalo de León","071_GTM_Bernardo-Arévalo-de-León.jpg","IMAGE_UNIQUE"
"27","GRC","Greece","Konstantinos Tasoulas","Head of state / president where applicable","head_state","aggregate_salary_table_needs_official_confirmation","MATCHED_WIKIDATA_HEAD_OF_STATE","Matches Wikidata current head of state (Konstantinos Tasoulas).","Konstantinos Tasoulas","Kyriakos Mitsotakis","090_GRC_Konstantinos-Tasoulas.jpg","IMAGE_UNIQUE"
"28","ZWE","Zimbabwe","Emmerson Mnangagwa","Head of state / president where applicable","head_state","aggregate_salary_table_needs_official_confirmation","MATCHED_WIKIDATA_HEAD_OF_STATE","Matches Wikidata current head of state (Emmerson Mnangagwa).","Emmerson Mnangagwa","Emmerson Mnangagwa","073_ZWE_Emmerson-Mnangagwa.jpg","IMAGE_UNIQUE"
"29","IRQ","Iraq","Nizar Amedi","President","president","presidential_salary_estimate","MATCHED_WIKIDATA_HEAD_OF_STATE","Matches Wikidata current head of state (Abdul Latif Rashid).","Abdul Latif Rashid","Muhammad Shia' al-Sudani","034_IRQ_Nizar-Amedi.jpg","IMAGE_UNIQUE"
"30","RUS","Russia","Vladimir Putin","Head of state / president where applicable","head_state","aggregate_salary_table_needs_official_confirmation","MATCHED_WIKIDATA_HEAD_OF_STATE","Matches Wikidata current head of state (Vladimir Putin).","Vladimir Putin","Mikhail Mishustin","009_RUS_Vladimir-Putin.jpg","IMAGE_UNIQUE"
"31","COL","Colombia","Gustavo Petro","Head of state / president where applicable","head_state","aggregate_salary_table_needs_official_confirmation","MATCHED_WIKIDATA_HEAD_OF_STATE","Matches Wikidata current head of state (Gustavo Petro).","Gustavo Petro","Gustavo Petro","027_COL_Gustavo-Petro.jpg","IMAGE_UNIQUE"
"32","KEN","Kenya","William Ruto","Head of state / president where applicable","head_state","official_remuneration_current_fx_estimate","MATCHED_WIKIDATA_HEAD_OF_STATE","Matches Wikidata current head of state (William Ruto).","William Ruto","William Ruto","026_KEN_William-Ruto.jpg","IMAGE_UNIQUE"
"33","CHL","Chile","José Antonio Kast","Head of state / president where applicable","head_state","official_local_salary_current_fx_estimate","MATCHED_WIKIDATA_HEAD_OF_STATE","Matches Wikidata current head of state (José Antonio Kast).","José Antonio Kast","José Antonio Kast","064_CHL_José-Antonio-Kast.jpg","IMAGE_UNIQUE"
"34","COD","Democratic Republic of the Congo","Félix Tshisekedi","Head of state / president where applicable","head_state","manual_reported_budget_media_source","MATCHED_WIKIDATA_HEAD_OF_STATE","Matches Wikidata current head of state (Félix Tshisekedi).","Félix Tshisekedi","Ilunga Ilunkamba Sylvestre","013_COD_Félix-Tshisekedi.jpg","IMAGE_UNIQUE"
"35","MEX","Mexico","Claudia Sheinbaum","Head of state / president where applicable","head_state","reported_official_salary_current_fx_estimate","MATCHED_WIKIDATA_HEAD_OF_STATE","Matches Wikidata current head of state (Q5771800).","Q5771800","Q5771800","010_MEX_Claudia-Sheinbaum.jpg","IMAGE_UNIQUE"
"36","SOM","Somalia","Hassan Sheikh Mohamud","Head of state / president where applicable","head_state","aggregate_salary_table_needs_official_confirmation","MATCHED_WIKIDATA_HEAD_OF_STATE","Matches Wikidata current head of state (Hassan Sheikh Mohamud).","Hassan Sheikh Mohamud","Mohamed Hussein Roble","066_SOM_Hassan-Sheikh-Mohamud.jpg","IMAGE_UNIQUE"
"37","DOM","Dominican Republic","Luis Abinader","President","president","local_salary_explicit_usd","MATCHED_WIKIDATA_HEAD_OF_STATE","Matches Wikidata current head of state (Luis Arruinader).","Luis Arruinader","Luis Arruinader","086_DOM_Luis-Abinader.jpg","IMAGE_UNIQUE"
"38","AZE","Azerbaijan","Ilham Aliyev","Head of state / president where applicable","head_state","verified_usd_column_from_salary_table","MATCHED_WIKIDATA_HEAD_OF_STATE","Matches Wikidata current head of state (Ilham Aliyev).","Ilham Aliyev","Ali Asadov","091_AZE_Ilham-Aliyev.jpg","IMAGE_UNIQUE"
"39","BRA","Brazil","Luiz Inácio Lula da Silva","Head of state / president where applicable","head_state","aggregate_salary_table_needs_official_confirmation","MATCHED_WIKIDATA_HEAD_OF_STATE","Matches Wikidata current head of state (Luiz Inácio Lula da Silva).","Luiz Inácio Lula da Silva","Luiz Inácio Lula da Silva","007_BRA_Luiz-Inácio-Lula-da-Silva.jpg","IMAGE_UNIQUE"
"40","CIV","Ivory Coast","Alassane Ouattara","Head of state / president where applicable","head_state","aggregate_salary_table_needs_official_confirmation","MATCHED_WIKIDATA_HEAD_OF_STATE","Matches Wikidata current head of state (Alassane Ouattara).","Alassane Ouattara","Robert Beugré Mambé","049_CIV_Alassane-Ouattara.jpg","IMAGE_UNIQUE"
"41","PRT","Portugal","António José Seguro","Head of state / president where applicable","head_state","aggregate_salary_table_needs_official_confirmation","MATCHED_WIKIDATA_HEAD_OF_STATE","Matches Wikidata current head of state (António José Seguro).","António José Seguro","Luís Montenegro","087_PRT_António-José-Seguro.jpg","IMAGE_UNIQUE"
"42","CMR","Cameroon","Paul Biya","Head of state / president where applicable","head_state","presidential_salary_estimate","MATCHED_WIKIDATA_HEAD_OF_STATE","Matches Wikidata current head of state (Paul Biya).","Paul Biya","Joseph Ngute","051_CMR_Paul-Biya.jpg","IMAGE_UNIQUE"
"43","HTI","Haiti","Alix Didier Fils-Aime","Acting prime minister / sole executive; presidency vacant","acting_executive_no_president","acting_executive_salary_estimate","CONFIRMED_CONTEXT_EXCEPTION","Transition exception: presidency vacant / transitional structure; row uses acting executive Alix Didier Fils-Aime.","Transitional Presidential Council","Alix Didier Fils-Aimé","082_HTI_Alix-Didier-Fils-Aime.jpg","IMAGE_UNIQUE"
"44","PHL","Philippines","Bongbong Marcos","Head of state / president where applicable","head_state","aggregate_salary_table_needs_official_confirmation","MATCHED_WIKIDATA_HEAD_OF_STATE","Matches Wikidata current head of state (Bongbong Marcos).","Bongbong Marcos","Bongbong Marcos","012_PHL_Bongbong-Marcos.jpg","IMAGE_UNIQUE"
"45","RWA","Rwanda","Paul Kagame","Head of state / president where applicable","head_state","aggregate_salary_table_needs_official_confirmation","MATCHED_WIKIDATA_HEAD_OF_STATE","Matches Wikidata current head of state (Paul Kagame).","Paul Kagame","Justin Nsengiyumva","076_RWA_Paul-Kagame.jpg","IMAGE_UNIQUE"
"46","GHA","Ghana","John Mahama","Head of state / president where applicable","head_state","aggregate_salary_table_needs_official_confirmation","MATCHED_WIKIDATA_HEAD_OF_STATE","Matches Wikidata current head of state (John Mahama).","John Mahama","Nana Akufo-Addo","046_GHA_John-Mahama.jpg","IMAGE_UNIQUE"
"47","ECU","Ecuador","Daniel Noboa","Head of state / president where applicable","head_state","aggregate_salary_table_needs_official_confirmation","MATCHED_WIKIDATA_HEAD_OF_STATE","Matches Wikidata current head of state (Daniel Noboa).","Daniel Noboa","Daniel Noboa","070_ECU_Daniel-Noboa.jpg","IMAGE_UNIQUE"
"48","MWI","Malawi","Peter Mutharika","Head of state / president where applicable","head_state","aggregate_salary_table_needs_official_confirmation","MATCHED_WIKIDATA_HEAD_OF_STATE","Matches Wikidata current head of state (Peter Mutharika).","Peter Mutharika","Lazarus Chakwera","062_MWI_Peter-Mutharika.jpg","IMAGE_UNIQUE"
"49","POL","Poland","Karol Nawrocki","Head of state / president where applicable","head_state","aggregate_salary_table_needs_official_confirmation","MATCHED_WIKIDATA_HEAD_OF_STATE","Matches Wikidata current head of state (Karol Nawrocki).","Karol Nawrocki","Donald Tusk","040_POL_Karol-Nawrocki.jpg","IMAGE_UNIQUE"
"50","IND","India","Droupadi Murmu","Head of state / president where applicable","head_state","official_local_salary_current_fx_estimate","MATCHED_WIKIDATA_HEAD_OF_STATE","Matches Wikidata current head of state (Droupadi Murmu).","Droupadi Murmu","Narendra Modi","001_IND_Droupadi-Murmu.jpg","IMAGE_UNIQUE"
"51","TUR","Turkey","Recep Tayyip Erdoğan","Head of state / president where applicable","head_state","aggregate_salary_table_needs_official_confirmation","MATCHED_WIKIDATA_HEAD_OF_STATE","Matches Wikidata current head of state (Recep Tayyip Erdoğan).","Recep Tayyip Erdoğan","Recep Tayyip Erdoğan","018_TUR_Recep-Tayyip-Erdoğan.jpg","IMAGE_UNIQUE"
"52","DZA","Algeria","Abdelmadjid Tebboune","Head of state / president where applicable","head_state","verified_usd_column_from_salary_table","MATCHED_WIKIDATA_HEAD_OF_STATE","Matches Wikidata current head of state (Abdelmadjid Tebboune).","Abdelmadjid Tebboune","Sifi Ghrieb","032_DZA_Abdelmadjid-Tebboune.jpg","IMAGE_UNIQUE"
"53","MLI","Mali","Assimi Goïta","Head of state / president where applicable","head_state","aggregate_salary_table_needs_official_confirmation","MATCHED_WIKIDATA_HEAD_OF_STATE","Matches Wikidata current head of state (Assimi Goïta).","Assimi Goïta","Abdoulaye Maïga","060_MLI_Assimi-Goïta.jpg","IMAGE_UNIQUE"
"54","ROU","Romania","Nicușor Dan","Head of state / president where applicable","head_state","aggregate_salary_table_needs_official_confirmation","MATCHED_WIKIDATA_HEAD_OF_STATE","Matches Wikidata current head of state (Nicușor Dan).","Nicușor Dan","Ilie Bolojan","069_ROU_Nicușor-Dan.jpg","IMAGE_UNIQUE"
"55","PRK","North Korea","Kim Jong-un","Head of state / president where applicable","head_state","state_leader_salary_estimate","MATCHED_WIKIDATA_HEAD_OF_STATE","Matches Wikidata current head of state (Kim Jong-un).","Kim Jong-un","Pak Thae-song","056_PRK_Kim-Jong-un.jpg","IMAGE_UNIQUE"
"56","SYR","Syria","Ahmed al-Sharaa","Head of state / president where applicable","head_state","presidential_salary_estimate","MATCHED_WIKIDATA_HEAD_OF_STATE","Matches Wikidata current head of state (Ahmed al-Sharaa).","Ahmed al-Sharaa","","057_SYR_Ahmed-al-Sharaa.jpg","IMAGE_UNIQUE"
"57","SSD","South Sudan","Salva Kiir Mayardit","Head of state / president where applicable","head_state","aggregate_salary_table_needs_official_confirmation","MATCHED_WIKIDATA_HEAD_OF_STATE","Matches Wikidata current head of state (Salva Kiir Mayardit).","Salva Kiir Mayardit","Salva Kiir Mayardit","075_SSD_Salva-Kiir-Mayardit.jpg","IMAGE_UNIQUE"
"58","PER","Peru","José María Balcázar","Head of state / president where applicable","head_state","local_salary_explicit_usd","MATCHED_WIKIDATA_HEAD_OF_STATE","Matches Wikidata current head of state (José María Balcázar).","José María Balcázar","José María Balcázar","044_PER_José-María-Balcázar.jpg","IMAGE_UNIQUE"
"59","PNG","Papua New Guinea","Bob Dadae","Governor-General of Papua New Guinea / representative of the monarch","representative_head_state","governor_general_equivalent_estimate","FIXED_COMMONWEALTH_REPRESENTATIVE_METHODOLOGY","Representative correction: salary_basis is governor_general_equivalent_estimate, so display uses Bob Dadae rather than formal monarch Charles III.","Charles III","James Marape","059_PNG_Bob-Dadae.jpg","IMAGE_UNIQUE"
"60","IDN","Indonesia","Prabowo Subianto","Head of state / president where applicable","head_state","aggregate_salary_table_needs_official_confirmation","MATCHED_WIKIDATA_HEAD_OF_STATE","Matches Wikidata current head of state (Prabowo Subianto).","Prabowo Subianto","Prabowo Subianto","004_IDN_Prabowo-Subianto.jpg","IMAGE_UNIQUE"
"61","HND","Honduras","Nasry Asfura","Head of state / president where applicable","head_state","aggregate_salary_table_needs_official_confirmation","MATCHED_WIKIDATA_HEAD_OF_STATE","Matches Wikidata current head of state (Q16146159).","Q16146159","Q16146159","094_HND_Nasry-Asfura.jpg","IMAGE_UNIQUE"
"62","MDG","Madagascar","Michael Randrianirina","Head of state / president where applicable","head_state","presidential_salary_estimate","MATCHED_WIKIDATA_HEAD_OF_STATE","Matches Wikidata current head of state (Michael Randrianirina).","Michael Randrianirina","Ruphin Zafisambo","048_MDG_Michael-Randrianirina.jpg","IMAGE_UNIQUE"
"63","TZA","Tanzania","Samia Suluhu Hassan","Head of state / president where applicable","head_state","aggregate_salary_table_needs_official_confirmation","MATCHED_WIKIDATA_HEAD_OF_STATE","Matches Wikidata current head of state (Samia Suluhu Hassan).","Samia Suluhu Hassan","Samia Suluhu Hassan","022_TZA_Samia-Suluhu-Hassan.jpg","IMAGE_UNIQUE"
"64","BDI","Burundi","Évariste Ndayishimiye","Head of state / president where applicable","head_state","aggregate_salary_table_needs_official_confirmation","MATCHED_WIKIDATA_HEAD_OF_STATE","Matches Wikidata current head of state (Évariste Ndayishimiye).","Évariste Ndayishimiye","Gervais Ndirakobuca","078_BDI_Évariste-Ndayishimiye.jpg","IMAGE_UNIQUE"
"65","MOZ","Mozambique","Daniel Chapo","Head of state / president where applicable","head_state","aggregate_salary_table_needs_official_confirmation","MATCHED_WIKIDATA_HEAD_OF_STATE","Matches Wikidata current head of state (Daniel Chapo).","Daniel Chapo","Maria Benvinda Levy","045_MOZ_Daniel-Chapo.jpg","IMAGE_UNIQUE"
"66","ETH","Ethiopia","Taye Atske Selassie","Head of state / president where applicable","head_state","aggregate_salary_table_needs_official_confirmation","MATCHED_WIKIDATA_HEAD_OF_STATE","Matches Wikidata current head of state (Taye Atske Selassie).","Taye Atske Selassie","Abiy Ahmed","014_ETH_Taye-Atske-Selassie.jpg","IMAGE_UNIQUE"
"67","ARG","Argentina","Javier Milei","Head of state / president where applicable","head_state","reported_official_salary_current_fx_estimate","MATCHED_WIKIDATA_HEAD_OF_STATE","Matches Wikidata current head of state (Javier Milei).","Javier Milei","Javier Milei","033_ARG_Javier-Milei.jpg","IMAGE_UNIQUE"
"68","BOL","Bolivia","Rodrigo Paz Pereira","President","president","aggregate_salary_table_needs_official_confirmation","MATCHED_WIKIDATA_HEAD_OF_STATE","Matches Wikidata current head of state (Rodrigo Paz Perota).","Rodrigo Paz Perota","Rodrigo Paz Perota","083_BOL_Rodrigo-Paz-Pereira.jpg","IMAGE_UNIQUE"
"69","AFG","Afghanistan","Hibatullah Akhundzada","Head of state / president where applicable","head_state","verified_usd_column_from_salary_table","MATCHED_WIKIDATA_HEAD_OF_STATE","Matches Wikidata current head of state (Hibatullah Akhundzada).","Hibatullah Akhundzada","Mohammad Hasan Akhund","036_AFG_Hibatullah-Akhundzada.jpg","IMAGE_UNIQUE"
"70","MMR","Myanmar","Min Aung Hlaing","President; military-backed government, disputed legitimacy","de_facto_president_disputed","de_facto_leader_salary_estimate","CONFIRMED_CONTEXT_EXCEPTION","Disputed/de facto exception: row uses Min Aung Hlaing as de facto military-backed executive; Wikidata P35 remains stale/formal.","Myint Swe","Min Aung Hlaing","029_MMR_Min-Aung-Hlaing.jpg","IMAGE_UNIQUE"
"71","NER","Niger","Abdourahamane Tchiani","Head of state / president where applicable","head_state","presidential_salary_estimate","MATCHED_WIKIDATA_HEAD_OF_STATE","Matches Wikidata current head of state (Abdourahamane Tchiani).","Abdourahamane Tchiani","Ali Lamine Zeine","055_NER_Abdourahamane-Tchiani.jpg","IMAGE_UNIQUE"
"72","PAK","Pakistan","Asif Ali Zardari","Head of state / president where applicable","head_state","official_local_salary_current_fx_estimate","MATCHED_WIKIDATA_HEAD_OF_STATE","Matches Wikidata current head of state (Asif Ali Zardari).","Asif Ali Zardari","Shehbaz Sharif","005_PAK_Asif-Ali-Zardari.jpg","IMAGE_UNIQUE"
"73","BFA","Burkina Faso","Ibrahim Traoré","Head of state / president where applicable","head_state","aggregate_salary_table_needs_official_confirmation","MATCHED_WIKIDATA_HEAD_OF_STATE","Matches Wikidata current head of state (Ibrahim Traoré).","Ibrahim Traoré","Apollinaire Joachim Kyélem de Tambèla","058_BFA_Ibrahim-Traoré.jpg","IMAGE_UNIQUE"
"74","BLR","Belarus","Alexander Lukashenka","Head of state / president where applicable","head_state","aggregate_salary_table_needs_official_confirmation","MATCHED_WIKIDATA_HEAD_OF_STATE","Matches Wikidata current head of state (Alexander Lukashenka).","Alexander Lukashenka","Alexander Turchyn","100_BLR_Alexander-Lukashenka.jpg","IMAGE_UNIQUE"
"75","KHM","Cambodia","Norodom Sihamoni","Monarch / head of state; no president","head_state","royal_allowance_estimate","MATCHED_WIKIDATA_HEAD_OF_STATE","Matches Wikidata current head of state (Norodom Sihamoni).","Norodom Sihamoni","Hun Manet","072_KHM_Norodom-Sihamoni.jpg","IMAGE_UNIQUE"
"76","BEN","Benin","Romuald Wadagni","Head of state / president where applicable","head_state","aggregate_salary_table_needs_official_confirmation","MATCHED_WIKIDATA_HEAD_OF_STATE","Matches Wikidata current head of state (Romuald Wadagni).","Romuald Wadagni","Patrice Talon","077_BEN_Romuald-Wadagni.jpg","IMAGE_UNIQUE"
"77","SDN","Sudan","Abdel Fattah al-Burhan","Chair, Transitional Sovereignty Council / de facto head of state","head_state","aggregate_salary_table_needs_official_confirmation","MATCHED_WIKIDATA_HEAD_OF_STATE","Matches Wikidata current head of state (Abdel Fattah al-Burhan).","Abdel Fattah al-Burhan","Abdalla Hamdok","028_SDN_Abdel-Fattah-al-Burhan.jpg","IMAGE_UNIQUE"
"78","ZMB","Zambia","Hakainde Hichilema","Head of state / president where applicable","head_state","reported_salary_or_equivalent_estimate","MATCHED_WIKIDATA_HEAD_OF_STATE","Matches Wikidata current head of state (Hakainde Hichilema).","Hakainde Hichilema","Edgar Lungu","065_ZMB_Hakainde-Hichilema.jpg","IMAGE_UNIQUE"
"79","GIN","Guinea","Mamady Doumbouya","Head of state / president where applicable","head_state","aggregate_salary_table_needs_official_confirmation","MATCHED_WIKIDATA_HEAD_OF_STATE","Matches Wikidata current head of state (Mamady Doumbouya).","Mamady Doumbouya","Bah Oury","074_GIN_Mamady-Doumbouya.jpg","IMAGE_UNIQUE"
"80","CHN","People's Republic of China","Xi Jinping","Head of state / president where applicable","head_state","aggregate_salary_table_needs_official_confirmation","MATCHED_WIKIDATA_HEAD_OF_STATE","Matches Wikidata current head of state (Xi Jinping).","Xi Jinping","Li Qiang","002_CHN_Xi-Jinping.jpg","IMAGE_UNIQUE"
"81","KAZ","Kazakhstan","Qasym-Zhomart Toqaev","Head of state / president where applicable","head_state","aggregate_salary_table_needs_official_confirmation","MATCHED_WIKIDATA_HEAD_OF_STATE","Matches Wikidata current head of state (Qasym-Zhomart Toqaev).","Qasym-Zhomart Toqaev","Älihan Smaiylov","063_KAZ_Qasym-Zhomart-Toqaev.jpg","IMAGE_UNIQUE"
"82","IRN","Iran","Mojtaba Khamenei","Supreme Leader / head of state","head_state","supreme_leader_compensation_estimate","MATCHED_WIKIDATA_HEAD_OF_STATE","Matches Wikidata current head of state (Q2919350).","Q2919350","Masoud Pezeshkian","017_IRN_Mojtaba-Khamenei.jpg","IMAGE_UNIQUE"
"83","NPL","Nepal","Ram Chandra Poudel","Head of state / president where applicable","head_state","aggregate_salary_table_needs_official_confirmation","MATCHED_WIKIDATA_HEAD_OF_STATE","Matches Wikidata current head of state (Ram Chandra Poudel).","Ram Chandra Poudel","Pushpa Kamal Dahal","050_NPL_Ram-Chandra-Poudel.jpg","IMAGE_UNIQUE"
