"rank_population","country_en","country_ru","iso3","population","population_date","population_source","leader_name_en","leader_name_ru","leader_qid","office_title","role_type","salary_local_annual","salary_usd_annual_approx","salary_usd_display","salary_conversion_note","salary_usd_monthly_display","salary_usd_monthly_equivalent","salary_basis","salary_confidence","salary_source_url","salary_source_caveat","portrait_original_file","portrait_3x4_file","portrait_source_url","portrait_license","portrait_author","portrait_attribution","portrait_width","portrait_height","notes"
"11","Japan","Япония","JPN","122810000","1 May 2026","Monthly national estimate","Naruhito","Нарухито","Q217096","Monarch / head of state; no president","head_state","production estimate, USD monthly equivalent","210000","$210,000","Not used: source appears to describe royal grant/privy purse/allowance or an unverified outlier, not personal monthly salary.","$17,500","17500","imperial_household_allowance_equivalent_estimate","estimated","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries","Production estimate based on public imperial household/private allowance scale; not a conventional salary.","","assets/final_portraits_3x4/011_JPN_Naruhito.jpg","http://commons.wikimedia.org/wiki/Special:FilePath/Emperor%20Naruhito%2020250611%20%2854582524056%2C%20cropped%29.jpg","","","","","","FACTCHECK: monarchy/royal allocation is not treated as president salary | PRODUCTION_FILL: no N/A; realistic display estimate, not fully verified official payroll"
"12","Philippines","Филиппины","PHL","114123600","1 Jul 2025","Official projection","Bongbong Marcos","Фердинанд Маркос-младший","Q983324","Head of state / president where applicable","head_state","95,554 USD (President)","95554","$95,554","Monthly equivalent = annual approximate salary divided by 12; benefits and allowances excluded unless salary basis says otherwise.","$7,963","7963","aggregate_salary_table_needs_official_confirmation","medium","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries","Approximate head-of-state annual salary; broad source has mixed years/exchange rates.","","assets/final_portraits_3x4/012_PHL_Bongbong-Marcos.jpg","http://commons.wikimedia.org/wiki/Special:FilePath/Portrait%20of%20President%20Ferdinand%20R.%20Marcos%2C%20Jr%20%28cropped%29.jpg","","","","","","FACTCHECK: salary retained as approximate; official/current source not fully verified"
"13","Democratic Republic of the Congo","Демократическая Республика Конго","COD","112832000","1 Jul 2025","UN projection","Félix Tshisekedi","Феликс Чисекеди","Q29032770","Head of state / president where applicable","head_state","324,000,000 CDF / 129,600 USD (President, reported 2024 budget)","129600","$129,600","Monthly equivalent = annual approximate salary divided by 12; benefits and allowances excluded unless salary basis says otherwise.","$10,800","10800","manual_reported_budget_media_source","low","https://kt.cd/2024/03/07/en-rdc-le-president-felix-tshisekedi-touche-un-salaire-annuel-de-129-600-usd/","Reported media/budget figure; treat as approximate.","","assets/final_portraits_3x4/013_COD_Félix-Tshisekedi.jpg","http://commons.wikimedia.org/wiki/Special:FilePath/Felix%20Tshisekedi%2C%20President%20of%20the%20Democratic%20Republic%20of%20the%20Congo%20%2855078564106%29%20%28cropped%29.jpg","","","","","","FACTCHECK: salary retained as approximate; official/current source not fully verified"
"14","Ethiopia","Эфиопия","ETH","111652998","1 Jul 2025","National annual projection","Taye Atske Selassie","Тайе Ацке-Селассие","Q124831090","Head of state / president where applicable","head_state","45,270 USD (President)","45270","$45,270","Monthly equivalent = annual approximate salary divided by 12; benefits and allowances excluded unless salary basis says otherwise.","$3,772","3772","aggregate_salary_table_needs_official_confirmation","low","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries","Approximate head-of-state annual salary; broad source has mixed years/exchange rates.","","assets/final_portraits_3x4/014_ETH_Taye-Atske-Selassie.jpg","http://commons.wikimedia.org/wiki/Special:FilePath/Taye%20Atske%20Selassie%20MFA%20Portrait.jpg","Public domain","Ministry of Foreign Affairs of Ethiopia","[1]","","","FACTCHECK: salary retained as approximate; official/current source not fully verified"
"15","Egypt","Египет","EGY","108613296","1 Jan 2026","Official estimate","Abdel Fattah el-Sisi","Абдель Фаттах Халиль ас-Сиси","Q307871","Head of state / president where applicable","head_state","EGP 42,000/month","10080","$10,080","Monthly equivalent = annual approximate salary divided by 12; benefits and allowances excluded unless salary basis says otherwise.","$840","840","reported_legal_salary_current_fx_estimate","medium","https://www.egypt-business.com/news/details/1420-egypt-president-salary-to-be-raised-to-egp42000/9080","Egyptian salary law/reporting points to EGP 42,000/month; USD converted approximately.","","assets/final_portraits_3x4/015_EGY_Abdel-Fattah-el-Sisi.jpg","http://commons.wikimedia.org/wiki/Special:FilePath/AbdelFattah%20Elsisi%20%28cropped%29.jpg","CC BY 4.0","Ministry of Communications and Information Technology in Egypt","Own work","","",""
"16","Vietnam","Вьетнам","VNM","102300000","31 Dec 2025","Official estimate","Tô Lâm","То Лам","Q10831196","Head of state / president where applicable","head_state","11,103 USD (President)","11103","$11,103","Monthly equivalent = annual approximate salary divided by 12; benefits and allowances excluded unless salary basis says otherwise.","$925","925","aggregate_salary_table_needs_official_confirmation","medium","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries","Approximate head-of-state annual salary; broad source has mixed years/exchange rates.","","assets/final_portraits_3x4/016_VNM_Tô-Lâm.jpg","http://commons.wikimedia.org/wiki/Special:FilePath/To%20Lam%20May%202025.jpg","CC BY-SA 3.0","Stanislav Krasilnikov","https://riamediabank.ru/media/8922117.html","","","FACTCHECK: salary retained as approximate; official/current source not fully verified"
"17","Iran","????","IRN","87134000","21 Mar 2026","Official estimate","Mojtaba Khamenei","???????? ???????","Q2919350","Supreme Leader / head of state","head_state","production estimate, USD monthly equivalent","18000","$18,000","Not publicly disclosed.","$1,500","1500","supreme_leader_compensation_estimate","estimated","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries","Production estimate for Iran head of state. Exact compensation is not publicly disclosed; previous row used President Masoud Pezeshkian, not the head of state.","","assets/final_portraits_3x4/017_IRN_Mojtaba-Khamenei.jpg","https://commons.wikimedia.org/wiki/File:Ayatollah_Sayyid_Mojtaba_Khamenei,_10_April_2026_(cropped).jpg","CC BY 4.0 / see Commons","Khamenei.ir / Wikimedia Commons","Mojtaba Khamenei, Supreme Leader of Iran, cropped/resized","1200","1600","FACTCHECK: Iran: kept President Masoud Pezeshkian for president-focused video; supreme leader is head of state, so salary is not comparable. | PRODUCTION_FILL: no N/A; realistic display estimate, not fully verified official payroll | HEAD_OF_STATE_RECHECK: corrected from President Masoud Pezeshkian to Supreme Leader Mojtaba Khamenei for head-of-state rule"
"18","Turkey","Турция","TUR","86092168","31 Dec 2025","Official estimate","Recep Tayyip Erdoğan","Реджеп Таййип Эрдоган","Q39259","Head of state / president where applicable","head_state","~US$70,000 (President)","70000","$70,000","Monthly equivalent = annual approximate salary divided by 12; benefits and allowances excluded unless salary basis says otherwise.","$5,833","5833","aggregate_salary_table_needs_official_confirmation","medium","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries","Approximate head-of-state annual salary; broad source has mixed years/exchange rates.","","assets/final_portraits_3x4/018_TUR_Recep-Tayyip-Erdoğan.jpg","http://commons.wikimedia.org/wiki/Special:FilePath/Recep%20Tayyip%20Erdogan%20in%20Ukraine.jpg","CC BY 4.0","PRESIDENT OF UKRAINE  VOLODYMYR ZELENSKYY Official website","https://www.president.gov.ua/photos/robocha-poyizdka-prezidenta-ukrayini-na-lvivshinu-4861","","","FACTCHECK: salary retained as approximate; official/current source not fully verified"
"19","Germany","Германия","DEU","83497147","30 Sep 2025","National quarterly estimate","Frank-Walter Steinmeier","Франк-Вальтер Штайнмайер","Q76658","Head of state / president where applicable","head_state","€369,500 (President)","413600","$413,600","Monthly equivalent = annual approximate salary divided by 12; benefits and allowances excluded unless salary basis says otherwise.","$34,467","34467","verified_usd_column_from_salary_table","medium","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries","Approximate head-of-state annual salary; broad source has mixed years/exchange rates.","","assets/final_portraits_3x4/019_DEU_Frank-Walter-Steinmeier.jpg","http://commons.wikimedia.org/wiki/Special:FilePath/Frank-Walter%20Steinmeier%20in%202025%20%28cropped%29.jpg","CC BY 4.0","



Press Service of the President of the Republic of Azerbaijan
","Presidents of Azerbaijan and Germany attended concert at Heydar Aliyev Center","","","FACTCHECK: salary retained as approximate; official/current source not fully verified"
"20","United Kingdom","Великобритания","GBR","69487000","30 Jun 2025","Official estimate","Charles III","Карл III","Q43274","Monarch / head of state; no president","head_state","production estimate, USD monthly equivalent","1200000","$1,200,000","Not publicly disclosed.","$100,000","100000","monarch_public_funding_equivalent_estimate","estimated","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries","Production display estimate for monarch official compensation/funding equivalent; not a statutory personal salary.","","assets/final_portraits_3x4/020_GBR_Charles-III.jpg","https://commons.wikimedia.org/wiki/File:King_Charles_III_%28July_2023%29.jpg","Public domain","White House
","https://twitter.com/POTUS/status/1678465366501064705","727","1025","FACTCHECK: monarchy/royal allocation is not treated as president salary | PRODUCTION_FILL: no N/A; realistic display estimate, not fully verified official payroll"
"21","France","Франция","FRA","69081996","1 Jan 2026","Yearly national estimate","Emmanuel Macron","Эмманюэль Макрон","Q3052772","Head of state / president where applicable","head_state","194,300 USD (President)","194300","$194,300","Monthly equivalent = annual approximate salary divided by 12; benefits and allowances excluded unless salary basis says otherwise.","$16,192","16192","aggregate_salary_table_needs_official_confirmation","medium","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries","Approximate head-of-state annual salary; broad source has mixed years/exchange rates.","","assets/final_portraits_3x4/021_FRA_Emmanuel-Macron.jpg","https://commons.wikimedia.org/wiki/File:Emmanuel_Macron_2025_%28cropped%29.jpg","Public domain","Nebojša Tejić","https://www.flickr.com/photos/141163381@N04/54869784798/","1515","2096","FACTCHECK: salary retained as approximate; official/current source not fully verified"
"22","Tanzania","Танзания","TZA","68153004","1 Jul 2025","Official projection","Samia Suluhu Hassan","Самия Хасан Сулуху","Q16193885","Head of state / president where applicable","head_state","47,300 USD (President)","47300","$47,300","Monthly equivalent = annual approximate salary divided by 12; benefits and allowances excluded unless salary basis says otherwise.","$3,942","3942","aggregate_salary_table_needs_official_confirmation","low","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries","Approximate head-of-state annual salary; broad source has mixed years/exchange rates.","","assets/final_portraits_3x4/022_TZA_Samia-Suluhu-Hassan.jpg","https://commons.wikimedia.org/wiki/File:International_leaders_sign_joint_statement_at_COP26_%2851649202102%29_%28Suluhu_crop%29.jpg","CC BY 2.0","Scottish Government","International leaders sign joint statement at COP26","1456","1862","FACTCHECK: salary retained as approximate; official/current source not fully verified"
"23","Thailand","Таиланд","THA","65826149","30 Nov 2025","Monthly national estimate","Vajiralongkorn","Маха Вачиралонгкорн","Q548733","Monarch / head of state; no president","head_state","production estimate, USD monthly equivalent","720000","$720,000","Not publicly disclosed.","$60,000","60000","royal_public_funding_equivalent_estimate","estimated","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries","Production estimate for royal official support/allowance; not a conventional salary.","","assets/final_portraits_3x4/023_THA_Vajiralongkorn.jpg","https://commons.wikimedia.org/wiki/File:King_Rama_X_official_%28crop%29.png","CC BY 3.0 th","The Public Relations Department (กรมประชาสัมพันธ์)","https://oer.learn.in.th/search_detail/result/49360","1547","1888","FACTCHECK: monarchy/royal allocation is not treated as president salary | PRODUCTION_FILL: no N/A; realistic display estimate, not fully verified official payroll"
"24","South Africa","ЮАР","ZAF","63100945","30 Jun 2025","Official estimate","Cyril Ramaphosa","Сирил Рамафоса","Q1148669","Head of state / president where applicable","head_state","ZAR 3,340,000/year","180500","$180,500","Monthly equivalent = annual approximate salary divided by 12; benefits and allowances excluded unless salary basis says otherwise.","$15,042","15042","official_remuneration_current_fx_estimate","high","https://www.remcommission.gov.za/library/determinations","South African official remuneration about ZAR 3.34m/year; USD converted approximately.","","assets/final_portraits_3x4/024_ZAF_Cyril-Ramaphosa.jpg","https://commons.wikimedia.org/wiki/File:21.11.2025_%E2%80%93_Presidente_da_Rep%C3%BAblica_da_%C3%81frica_do_Sul%2C_Cyril_Ramaphosa_%2854938010569%29_%28cropped%29.jpg","CC BY 4.0","Ricardo Stuckert","21.11.2025 – Reunião bilateral com o Presidente da República da África do Sul, Cyril Ramaphosa","1120","1492",""
"25","Italy","Италия","ITA","58932330","28 Feb 2026","Monthly national estimate","Sergio Mattarella","Серджо Маттарелла","Q3956186","Head of state / president where applicable","head_state","275,147 USD (President)","275147","$275,147","Monthly equivalent = annual approximate salary divided by 12; benefits and allowances excluded unless salary basis says otherwise.","$22,929","22929","aggregate_salary_table_needs_official_confirmation","medium","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries","Approximate head-of-state annual salary; broad source has mixed years/exchange rates.","","assets/final_portraits_3x4/025_ITA_Sergio-Mattarella.jpg","http://commons.wikimedia.org/wiki/Special:FilePath/Sergio%20Mattarella%20Presidente%20della%20Repubblica%20Italiana.jpg","Attribution","Unknown authorUnknown author","Quirinale - Biografia (https://www.quirinale.it)","","","FACTCHECK: salary retained as approximate; official/current source not fully verified"
"26","Kenya","Кения","KEN","53330978","1 Jul 2025","Official projection","William Ruto","Уильям Руто","Q195725","Head of state / president where applicable","head_state","KES 17,325,000/year","133800","$133,800","Monthly equivalent = annual approximate salary divided by 12; benefits and allowances excluded unless salary basis says otherwise.","$11,150","11150","official_remuneration_current_fx_estimate","high","https://www.src.go.ke/","Kenya SRC salary KES 1,443,750/month; USD converted approximately.","","assets/final_portraits_3x4/026_KEN_William-Ruto.jpg","https://commons.wikimedia.org/wiki/File:William_Ruto_2023_%28cropped%29.jpg","Attribution","Presidenza della Repubblica","https://www.quirinale.it/elementi/80599","625","867",""
"27","Colombia","Колумбия","COL","53057212","1 Jan 2025","Official projection","Gustavo Petro","Густаво Петро","Q704022","Head of state / president where applicable","head_state","134,676 USD (President)","134676","$134,676","Monthly equivalent = annual approximate salary divided by 12; benefits and allowances excluded unless salary basis says otherwise.","$11,223","11223","aggregate_salary_table_needs_official_confirmation","medium","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries","Approximate head-of-state annual salary; broad source has mixed years/exchange rates.","","assets/final_portraits_3x4/027_COL_Gustavo-Petro.jpg","https://commons.wikimedia.org/wiki/File:Gustavo_Petro_2022.jpg","CC BY 2.0","Departamento Nacional de Planeación","File:Foto Oficial Presidente Gustavo Petro (52274966005).jpg","863","1117","FACTCHECK: salary retained as approximate; official/current source not fully verified"
"28","Sudan","Судан","SDN","51662000","1 Jul 2025","UN projection","Abdel Fattah al-Burhan","Абдель Фаттах аль-Бурхан","Q63111184","Chair, Transitional Sovereignty Council / de facto head of state","head_state","29,320 USD (President)","29320","$29,320","Monthly equivalent = annual approximate salary divided by 12; benefits and allowances excluded unless salary basis says otherwise.","$2,443","2443","aggregate_salary_table_needs_official_confirmation","low","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries","Approximate head-of-state annual salary; broad source has mixed years/exchange rates.","","assets/final_portraits_3x4/028_SDN_Abdel-Fattah-al-Burhan.jpg","https://commons.wikimedia.org/wiki/File:Abdel_Fattah_al-Burhan_in_April_2025_%28cropped%29.jpg","CC BY 4.0","



Press Service of the President of the Republic of Azerbaijan
","Ilham Aliyev met with President of Transitional Sovereignty Council of Sudan in Antalya","423","564","FACTCHECK: Sudan: de facto head of state / Sovereignty Council chair; salary weak. | FACTCHECK: salary retained as approximate; official/current source not fully verified"
"29","Myanmar","Мьянма","MMR","51375327","15 Oct 2024","2024 census result","Min Aung Hlaing","???????????????","Q3331362","President; military-backed government, disputed legitimacy","de_facto_president_disputed","production estimate, USD monthly equivalent","36000","$36,000","Monthly equivalent = annual approximate salary divided by 12; benefits and allowances excluded unless salary basis says otherwise.","$3,000","3000","de_facto_leader_salary_estimate","estimated","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries","Production estimate; current military-backed president salary is not reliably public.","","assets/final_portraits_3x4/029_MMR_Min-Aung-Hlaing.jpg","https://commons.wikimedia.org/wiki/File:Senior_General_Min_Aung_Hlaing_2017_(cropped).jpg","see_source","see_source","see source URL","1200","1600","FACTCHECK: CIA/AP/Xinhua current 2026 president; salary not reliably public | FACTCHECK: Current 2026 president changed; personal salary not reliably public. | PRODUCTION_FILL: no N/A; realistic display estimate, not fully verified official payroll"
"30","South Korea","Республика Корея","KOR","51111158","31 Jan 2026","Monthly national estimate","Lee Jae Myung","Ли Чжэ Мён","Q12612463","Head of state / president where applicable","head_state","211,320 USD (President)","211320","$211,320","Monthly equivalent = annual approximate salary divided by 12; benefits and allowances excluded unless salary basis says otherwise.","$17,610","17610","aggregate_salary_table_needs_official_confirmation","medium","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries","Approximate head-of-state annual salary; broad source has mixed years/exchange rates.","","assets/final_portraits_3x4/030_KOR_Lee-Jae-Myung.jpg","http://commons.wikimedia.org/wiki/Special:FilePath/President%20Lee%20Jae-myung%202025%20%28cropped%29.jpg","CC BY-SA 2.0","Republic of  Korea from Seoul, Republic of Korea","This image has been extracted from another file","","","FACTCHECK: salary retained as approximate; official/current source not fully verified"
"31","Spain","Испания","ESP","49687120","1 Apr 2026","National quarterly estimate","Felipe VI of Spain","Филипп VI","Q191045","King / head of state; no president","head_state","production estimate, USD monthly equivalent","312000","$312,000","Not used: source appears to describe royal grant/privy purse/allowance or an unverified outlier, not personal monthly salary.","$26,000","26000","royal_remuneration_estimate","estimated","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries","Production estimate from reported Spanish royal remuneration scale, rounded to USD/month.","","assets/final_portraits_3x4/031_ESP_Felipe-VI-of-Spain.jpg","http://commons.wikimedia.org/wiki/Special:FilePath/Daiga%20Mieri%C5%86a%20tiekas%20ar%20Sp%C4%81nijas%20karali%20-%2053814974005%20%28cropped%29.jpg","Public domain","Foto: Nebojša Tejić/STA","Obisk španskega predsednika vlade v Sloveniji, Vlada Republike Slovenije from Ljubljana, Slovenia","","","FACTCHECK: monarchy/royal allocation is not treated as president salary | PRODUCTION_FILL: no N/A; realistic display estimate, not fully verified official payroll"
"32","Algeria","Алжир","DZA","47400000","1 Jan 2025","National annual projection","Abdelmadjid Tebboune","Абдельмаджид Теббун","Q2821166","Head of state / president where applicable","head_state","د.ج 8,400,000 (President)","70000","$70,000","Monthly equivalent = annual approximate salary divided by 12; benefits and allowances excluded unless salary basis says otherwise.","$5,833","5833","verified_usd_column_from_salary_table","medium","https://en.wikipedia.org/wiki/List_of_heads_of_state_and_government_salaries","Approximate head-of-state annual salary; broad source has mixed years/exchange rates.","","assets/final_portraits_3x4/032_DZA_Abdelmadjid-Tebboune.jpg","http://commons.wikimedia.org/wiki/Special:FilePath/Abdelmadjid%20Tebboune%20%282023%29%20%28cropped%29.jpg","CC BY 4.0","State Duma of the Russian Federation","duma.gov.ru","","","FACTCHECK: salary retained as approximate; official/current source not fully verified"
